configuration,corpus,n,judge_minus_pool_mean,judge_minus_pool_sd,judge_pool_ttest_t,judge_pool_ttest_p,sub_minus_full_mean,sub_minus_full_sd,shapiro_wilk_p_on_diff,sub_ttest_t,sub_ttest_p
Baseline single-pass GPT-5-mini,human-authored,30,11.905555555555557,13.402313185523639,4.865534215729454,3.685941315093976e-05,4.1722222222222225,4.838677848396394,0.7208921219496012,4.722819533837735,5.4780579167886224e-05
Config B gpt-5-mini,human-authored,30,13.838888888888889,13.965713580443477,5.4274860869739765,7.735736651599144e-06,4.816666666666667,4.986447149265076,0.4061585041970594,5.290734878650782,1.1306961591702696e-05
Config B claude-opus-4-7,human-authored,28,-2.059523809523809,13.93113680229831,-0.7822746839033844,0.4408602079601361,-0.5238095238095225,4.710052791180627,0.7840886362866077,-0.5884731215591236,0.5611057835438392
Config B gemini-3.1-pro-preview,human-authored,30,6.822222222222223,15.254289851583309,2.4495961724735995,0.02057768779020461,2.4777777777777774,4.794379958099995,0.95881773812654,2.8306784052045417,0.008351120813402673
DeepSeek-V4-Pro,human-authored,30,2.105555555555556,14.886317828562433,0.77471157551489,0.4447811393636821,0.9055555555555567,4.687082463311261,0.9933555408949479,1.0582130968131058,0.29869362538030736
Qwen3.5-397B-A17B,human-authored,30,8.722222222222223,14.996061637084717,3.1857416822492355,0.00344143858897114,3.111111111111111,4.913296786567966,0.30740917028042813,3.4681921497577846,0.0016571917871064637
Sonnet-4.6,human-authored,30,0.6222222222222226,12.964284369796315,0.26288003037491064,0.7945017187691874,0.41111111111111137,4.4641469418314506,0.935458460962089,0.5044072969161465,0.6177864098393427
GPT-5.4-mini,human-authored,30,-0.011111111111110716,13.427821330954655,-0.004532236499507367,0.996414845217056,0.2000000000000006,4.992408029301539,0.02072382695343624,0.2194221923730848,0.8278583100158091
Config A GPT-5-mini × 3 (mean),human-authored,30,13.916666666666668,13.075359968818306,5.829646202315948,2.5442428237327243e-06,4.842592592592593,4.583367196747847,0.5342417714269687,5.78700567925784,2.8615094990409946e-06
Config A GPT-5-mini pass 1,human-authored,30,13.855555555555556,12.842229588035961,5.909410256622295,2.042766020653946e-06,4.822222222222222,4.718905754493903,0.5919925392131999,5.597144816673863,4.834648273939831e-06
Config A GPT-5-mini pass 2,human-authored,30,14.055555555555555,13.65013952557586,5.639901937720343,4.295380258343674e-06,4.888888888888889,4.717362836672889,0.8797227717532113,5.676380677703832,3.883386119406993e-06
Config A GPT-5-mini pass 3,human-authored,30,13.838888888888889,14.021363238834917,5.405944832994631,8.212076144091202e-06,4.816666666666667,4.731153375291949,0.933410661945809,5.576223757814135,5.122832331420297e-06
Baseline single-pass GPT-5-mini,LLM-generated,15,21.866666666666667,15.370064700218046,5.5100116680619715,7.684236592147817e-05,8.277777777777779,7.141335816825675,0.4680289816244191,4.48931352610578,0.0005095104899176104
Config B gpt-5-mini,LLM-generated,15,24.5,15.737302768031705,6.029501584911653,3.0939892088130915e-05,9.155555555555555,7.139057190283431,0.41656339970007367,4.966946369361648,0.0002068256713976238
Config B claude-opus-4-7,LLM-generated,15,1.3666666666666674,10.946877499274713,0.48352393092619345,0.6361987719221599,1.4444444444444442,5.624728094545206,0.5203635734891088,0.9945919489477991,0.3368152105913605
Config B gemini-3.1-pro-preview,LLM-generated,15,18.166666666666668,8.402569523852486,8.37353350738388,8.019032018878268e-07,7.044444444444444,5.034589352379194,0.89148163535622,5.419114471317022,9.04449149650126e-05
DeepSeek-V4-Pro,LLM-generated,15,5.833333333333334,16.97675815520494,1.3307842785019557,0.2045288253434726,2.9333333333333353,6.633189756761549,0.4837175670966977,1.7127131237719384,0.10881402913027056
Qwen3.5-397B-A17B,LLM-generated,15,16.666666666666668,13.46851118909561,4.792639775140931,0.00028650126654923834,6.544444444444446,6.0324738491551475,0.32139380062349254,4.201679937172507,0.0008876391700703706
Sonnet-4.6,LLM-generated,15,6.866666666666667,13.250816087476535,2.007007377386536,0.06445881240675636,3.277777777777779,6.6175772033522975,0.8548568668632401,1.9183423715058798,0.07569332315516591
GPT-5.4-mini,LLM-generated,15,-0.46666666666666595,16.237840383421076,-0.11130742669914909,0.9129526050011608,0.8333333333333334,7.6508636300560395,0.3267632089433298,0.4218459873157972,0.6795433585563166
Config A GPT-5-mini × 3 (mean),LLM-generated,15,22.11111111111111,16.165889361120186,5.29732470552682,0.00011271561067809355,8.359259259259257,7.324605998115585,0.2568521331309982,4.420070090605623,0.0005819099811399046
Config A GPT-5-mini pass 1,LLM-generated,15,21.400000000000002,15.309608975546272,5.4137139453544645,9.132821341958575e-05,8.122222222222222,7.1548814135754935,0.4699092681344574,4.396611150140978,0.0006087720270154246
Config A GPT-5-mini pass 2,LLM-generated,15,23.400000000000002,18.640479079612206,4.861882031796951,0.0002516010266116989,8.78888888888889,7.821030527911173,0.22170461008651746,4.3522679238825575,0.0006630842672432113
Config A GPT-5-mini pass 3,LLM-generated,15,21.533333333333335,15.639946819217016,5.332386506957971,0.00010577263795911493,8.166666666666668,7.301065371269836,0.25379194505044905,4.332157347678439,0.0006893332899431165
