comparison,judge_or_pair,n_cells,mean,stdev,min,max,pearson_r,spearman_rho,mae
per-judge mean,gpt-5-mini,258,72.90310077519379,15.80539078865475,10.5,96.5,,,
per-judge mean,claude-opus-4-7,258,51.439922480620154,21.392857135691326,0.0,96.0,,,
per-judge mean,gemini-3.1-pro-preview,258,62.98255813953488,23.618878888879337,0.0,100.0,,,
per-judge mean,claude-sonnet-4-6,258,57.298449612403104,19.327954950214952,0.5,92.0,,,
per-judge mean,gpt-5.4-mini,258,54.451550387596896,17.06674589445087,7.0,85.0,,,
per-judge mean,deepseek-ai/DeepSeek-V4-Pro,258,56.007751937984494,23.617386554388176,0.0,93.0,,,
per-judge mean,Qwen/Qwen3.5-397B-A17B,258,66.44186046511628,19.137368362878398,0.0,95.0,,,
pairwise,gpt-5-mini__claude-opus-4-7,258,,,,,0.83685732634157,0.843511853000222,21.57170542635659
pairwise,gpt-5-mini__gemini-3.1-pro-preview,258,,,,,0.8349204281929334,0.8150345614426261,13.067829457364342
pairwise,gpt-5-mini__claude-sonnet-4-6,258,,,,,0.8907745091371118,0.8694621009468464,15.732558139534884
pairwise,gpt-5-mini__gpt-5.4-mini,258,,,,,0.7696972685176977,0.739251606967807,18.753875968992247
pairwise,gpt-5-mini__deepseek-ai/DeepSeek-V4-Pro,258,,,,,0.8630203313789861,0.8571809752281861,17.790697674418606
pairwise,gpt-5-mini__Qwen/Qwen3.5-397B-A17B,258,,,,,0.8771288879643173,0.8497582112102633,8.60077519379845
pairwise,claude-opus-4-7__gemini-3.1-pro-preview,258,,,,,0.9202231036555072,0.9180280924466685,11.891472868217054
pairwise,claude-opus-4-7__claude-sonnet-4-6,258,,,,,0.9504769882872399,0.96105777174373,6.804263565891473
pairwise,claude-opus-4-7__gpt-5.4-mini,258,,,,,0.8356726833411168,0.8384068208245431,8.887596899224807
pairwise,claude-opus-4-7__deepseek-ai/DeepSeek-V4-Pro,258,,,,,0.9211050957432144,0.9265184818680672,7.195736434108527
pairwise,claude-opus-4-7__Qwen/Qwen3.5-397B-A17B,258,,,,,0.9039523913856113,0.9157605319574857,15.05232558139535
pairwise,gemini-3.1-pro-preview__claude-sonnet-4-6,258,,,,,0.9270633170600313,0.9076108254927205,8.44767441860465
pairwise,gemini-3.1-pro-preview__gpt-5.4-mini,258,,,,,0.8102114096947438,0.7783499830668097,12.949612403100776
pairwise,gemini-3.1-pro-preview__deepseek-ai/DeepSeek-V4-Pro,258,,,,,0.8704124769448656,0.8567225096237807,10.331395348837209
pairwise,gemini-3.1-pro-preview__Qwen/Qwen3.5-397B-A17B,258,,,,,0.90567541338927,0.8986623843526904,8.257751937984496
pairwise,claude-sonnet-4-6__gpt-5.4-mini,258,,,,,0.8559428915874633,0.8371823925782639,7.939922480620155
pairwise,claude-sonnet-4-6__deepseek-ai/DeepSeek-V4-Pro,258,,,,,0.9225584549292477,0.9227971447985218,7.430232558139535
pairwise,claude-sonnet-4-6__Qwen/Qwen3.5-397B-A17B,258,,,,,0.937293081873705,0.9227159185996229,9.542635658914728
pairwise,gpt-5.4-mini__deepseek-ai/DeepSeek-V4-Pro,258,,,,,0.8019188825974457,0.7805163977803843,11.50968992248062
pairwise,gpt-5.4-mini__Qwen/Qwen3.5-397B-A17B,258,,,,,0.8077276910146296,0.783257578237341,13.88953488372093
pairwise,deepseek-ai/DeepSeek-V4-Pro__Qwen/Qwen3.5-397B-A17B,258,,,,,0.8754060082563151,0.8858547764271196,12.476744186046512
within-cell spread (median across cells),GPT-5-mini ∪ Opus ∪ Gemini,259,9.375716033620636,,3.147723505218672,25.854972284586474,,,
