dataset,group_or_system,n_generations,n_human_grades,judge_raw [95% CI],grade_points [95% CI],pass_rate [95% CI],human_raw [95% CI],human_grade_points [95% CI],human_pass_rate [95% CI],accuracy [95% CI],bleu [95% CI],rouge [95% CI],meteor [95% CI],chrf [95% CI],bertscore [95% CI],moverscore [95% CI],semantic_similarity [95% CI],coherence [95% CI]
benchathon,Human (traditional),65,60,"50.0 [46.4, 53.7]","4.72 [4.00, 5.52]","52.3% [41.5, 64.6]","50.7 [45.1, 56.3]","5.67 [4.68, 6.75]","63.3% [51.7, 75.0]",,"0.055 [0.043, 0.070]","0.171 [0.158, 0.184]","0.181 [0.162, 0.201]",,"0.325 [0.296, 0.354]","0.908 [0.903, 0.912]","0.705 [0.646, 0.759]","0.286 [0.283, 0.289]"
benchathon,Human (co-creation),155,60,"65.7 [63.5, 67.9]","8.50 [7.92, 9.08]","87.7% [82.6, 92.9]","65.4 [59.6, 71.0]","9.08 [7.83, 10.32]","86.7% [78.3, 95.0]",,"0.083 [0.077, 0.088]","0.186 [0.180, 0.191]","0.255 [0.243, 0.267]",,"0.338 [0.322, 0.354]","0.916 [0.913, 0.918]","0.761 [0.736, 0.785]","0.279 [0.275, 0.285]"
benchathon,claude-opus-4-7,15,8,"69.3 [63.3, 74.7]","9.47 [7.53, 11.13]","93.3% [80.0, 100.0]","62.7 [55.1, 69.4]","7.62 [5.88, 9.38]","87.5% [62.5, 100.0]",,"0.065 [0.047, 0.081]","0.193 [0.177, 0.207]","0.203 [0.175, 0.229]",,"0.384 [0.351, 0.415]","0.916 [0.912, 0.920]","0.795 [0.740, 0.839]","0.270 [0.266, 0.274]"
benchathon,gemini-3.1-pro-preview,15,8,"68.3 [58.8, 75.6]","9.60 [7.67, 11.33]","93.3% [80.0, 100.0]","76.2 [69.9, 82.7]","11.62 [9.75, 13.50]","100.0% [100.0, 100.0]",,"0.070 [0.050, 0.090]","0.207 [0.186, 0.227]","0.202 [0.163, 0.234]",,"0.399 [0.358, 0.437]","0.921 [0.911, 0.927]","0.790 [0.721, 0.849]","0.278 [0.272, 0.285]"
benchathon,gpt-5.4,30,4,"68.2 [64.5, 71.6]","9.00 [7.93, 10.00]","96.7% [90.0, 100.0]","61.1 [46.4, 79.0]","7.50 [4.00, 12.50]","75.0% [25.0, 100.0]",,"0.079 [0.065, 0.094]","0.184 [0.176, 0.193]","0.230 [0.209, 0.253]",,"0.346 [0.319, 0.373]","0.913 [0.908, 0.918]","0.793 [0.758, 0.826]","0.273 [0.269, 0.276]"
benchathon,gemini-3.1-flash-lite-preview,15,4,"63.5 [57.3, 69.4]","7.73 [5.87, 9.47]","86.7% [66.7, 100.0]","67.0 [49.9, 78.0]","9.25 [5.25, 12.00]","75.0% [25.0, 100.0]",,"0.055 [0.040, 0.071]","0.191 [0.179, 0.203]","0.185 [0.162, 0.207]",,"0.384 [0.350, 0.415]","0.920 [0.917, 0.923]","0.794 [0.726, 0.852]","0.278 [0.274, 0.282]"
benchathon,claude-sonnet-4-6,15,4,"58.9 [52.9, 64.9]","6.47 [4.87, 8.20]","73.3% [46.7, 93.3]","53.8 [47.2, 60.2]","5.25 [3.50, 7.00]","75.0% [25.0, 100.0]",,"0.094 [0.084, 0.105]","0.180 [0.172, 0.189]","0.270 [0.251, 0.287]",,"0.338 [0.296, 0.380]","0.919 [0.915, 0.922]","0.768 [0.709, 0.818]","0.275 [0.271, 0.279]"
benchathon,gpt-5.4-mini,15,4,"58.6 [52.9, 64.2]","6.27 [4.73, 7.80]","73.3% [46.7, 93.3]","54.6 [43.6, 64.8]","5.50 [3.50, 8.00]","75.0% [25.0, 100.0]",,"0.045 [0.035, 0.055]","0.167 [0.157, 0.177]","0.175 [0.157, 0.193]",,"0.336 [0.304, 0.369]","0.909 [0.903, 0.914]","0.785 [0.731, 0.830]","0.281 [0.277, 0.285]"
benchathon,deepseek-ai/DeepSeek-V4-Pro,15,4,"56.1 [50.2, 61.9]","5.73 [4.27, 7.20]","66.7% [40.0, 86.7]","77.6 [71.5, 83.8]","11.75 [10.00, 13.50]","100.0% [100.0, 100.0]",,"0.083 [0.063, 0.101]","0.182 [0.171, 0.192]","0.246 [0.209, 0.281]",,"0.353 [0.312, 0.397]","0.918 [0.912, 0.923]","0.766 [0.714, 0.822]","0.278 [0.273, 0.282]"
benchathon,Qwen/Qwen3.5-122B-A10B,15,4,"49.4 [44.5, 54.4]","4.33 [3.33, 5.47]","40.0% [20.0, 66.7]","47.1 [40.5, 54.4]","3.75 [3.00, 5.25]","25.0% [0.0, 75.0]",,"0.031 [0.020, 0.041]","0.144 [0.131, 0.156]","0.149 [0.120, 0.175]",,"0.329 [0.302, 0.356]","0.905 [0.896, 0.912]","0.767 [0.707, 0.823]","0.282 [0.278, 0.287]"
benchathon,deepseek-ai/DeepSeek-V4-Flash,15,4,"49.3 [45.6, 52.8]","4.00 [3.27, 4.73]","46.7% [20.0, 73.3]","52.4 [33.1, 66.8]","5.75 [2.25, 9.00]","75.0% [25.0, 100.0]",,"0.067 [0.054, 0.079]","0.182 [0.171, 0.192]","0.214 [0.194, 0.233]",,"0.374 [0.340, 0.405]","0.912 [0.907, 0.916]","0.778 [0.705, 0.836]","0.278 [0.274, 0.283]"
