system,n_generations,judge_raw [95% CI],grade_points [95% CI],pass_rate [95% CI],human_raw [95% CI],human_grade_points [95% CI],human_pass_rate [95% CI],bleu [95% CI],rouge [95% CI],meteor [95% CI],bertscore [95% CI],moverscore [95% CI],semantic_similarity [95% CI],coherence [95% CI]
gemini-3.1-pro-preview,579,"61.7 [60.7, 62.8]","7.33 [7.05, 7.59]","83.2% [80.1, 86.2]",,,,"0.039 [0.037, 0.042]","0.166 [0.163, 0.169]","0.152 [0.148, 0.156]","0.369 [0.362, 0.375]","0.919 [0.918, 0.920]","0.780 [0.771, 0.788]",
gpt-5.4,581,"60.4 [59.3, 61.5]","6.99 [6.71, 7.27]","78.5% [74.7, 81.8]",,,,"0.078 [0.075, 0.081]","0.165 [0.163, 0.167]","0.218 [0.214, 0.222]","0.350 [0.343, 0.356]","0.919 [0.918, 0.920]","0.767 [0.759, 0.776]",
claude-opus-4-7,581,"58.7 [57.6, 59.6]","6.54 [6.27, 6.80]","75.7% [72.3, 79.2]",,,,"0.042 [0.040, 0.045]","0.159 [0.156, 0.162]","0.157 [0.153, 0.160]","0.354 [0.348, 0.361]","0.913 [0.912, 0.914]","0.769 [0.761, 0.778]",
claude-sonnet-4-6,581,"51.6 [50.6, 52.6]","4.87 [4.62, 5.09]","50.4% [46.3, 54.6]",,,,"0.081 [0.078, 0.084]","0.164 [0.162, 0.166]","0.224 [0.219, 0.228]","0.335 [0.329, 0.341]","0.917 [0.916, 0.918]","0.747 [0.739, 0.756]",
deepseek-ai/DeepSeek-V4-Pro,581,"50.0 [49.0, 51.0]","4.53 [4.30, 4.75]","44.6% [40.4, 48.4]",,,,"0.071 [0.068, 0.074]","0.165 [0.163, 0.167]","0.208 [0.204, 0.213]","0.340 [0.333, 0.346]","0.920 [0.919, 0.921]","0.762 [0.753, 0.770]",
gpt-5.4-mini,581,"49.7 [48.8, 50.7]","4.43 [4.23, 4.65]","46.1% [42.0, 50.1]",,,,"0.031 [0.029, 0.033]","0.141 [0.139, 0.143]","0.145 [0.141, 0.148]","0.324 [0.318, 0.330]","0.907 [0.906, 0.908]","0.751 [0.742, 0.760]",
deepseek-ai/DeepSeek-V4-Flash,581,"46.0 [45.2, 46.9]","3.68 [3.51, 3.85]","30.1% [26.5, 33.7]",,,,"0.047 [0.045, 0.050]","0.155 [0.153, 0.158]","0.169 [0.165, 0.173]","0.330 [0.325, 0.337]","0.909 [0.908, 0.910]","0.745 [0.737, 0.754]",
gemini-3.1-flash-lite-preview,579,"44.6 [43.8, 45.4]","3.48 [3.32, 3.64]","26.3% [22.8, 29.9]",,,,"0.004 [0.003, 0.004]","0.108 [0.106, 0.110]","0.073 [0.071, 0.075]","0.308 [0.303, 0.313]","0.896 [0.895, 0.897]","0.762 [0.754, 0.770]",
Qwen/Qwen3.5-122B-A10B,581,"44.2 [43.4, 45.0]","3.43 [3.28, 3.57]","25.6% [21.9, 29.3]",,,,"0.018 [0.016, 0.020]","0.131 [0.129, 0.133]","0.122 [0.119, 0.125]","0.317 [0.312, 0.322]","0.905 [0.904, 0.906]","0.759 [0.750, 0.768]",
Qwen/Qwen3.6-35B-A3B,581,"39.8 [38.9, 40.6]","2.84 [2.72, 2.97]","13.4% [10.7, 16.4]",,,,"0.010 [0.009, 0.012]","0.116 [0.114, 0.118]","0.100 [0.097, 0.102]","0.279 [0.274, 0.285]","0.899 [0.897, 0.900]","0.715 [0.706, 0.724]",
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,581,"36.2 [35.5, 36.8]","2.36 [2.29, 2.44]","4.6% [3.1, 6.5]",,,,"0.004 [0.004, 0.005]","0.108 [0.106, 0.111]","0.077 [0.074, 0.079]","0.297 [0.291, 0.303]","0.887 [0.886, 0.888]","0.749 [0.740, 0.758]",
Qwen/Qwen3-235B-A22B-Thinking-2507,581,"35.9 [35.2, 36.6]","2.41 [2.31, 2.50]","6.2% [4.3, 8.1]",,,,"0.006 [0.006, 0.007]","0.108 [0.106, 0.110]","0.080 [0.078, 0.083]","0.267 [0.262, 0.271]","0.882 [0.881, 0.883]","0.724 [0.716, 0.732]",
